timestamp;importance_type;scenario;age;anosmia;cough;diarrhea;fever;minor_severity_factor;risk_factor;sore_throat_aches
2020-04-27 18:13:46,959;SOBOL_TOTAL;B;0.26477;0.09553;0.29626;0.26513;0.37784;0.26334;0.48876;0.09768
2020-04-27 18:13:57,527;SOBOL_TOTAL;B;0.26322;0.09799;0.29612;0.26500;0.37766;0.26894;0.48888;0.09763
2020-04-27 18:14:08,037;SOBOL_TOTAL;B;0.26292;0.09801;0.29154;0.26614;0.37667;0.26507;0.48935;0.09766
2020-04-27 18:14:18,709;SOBOL_TOTAL;B;0.26441;0.09768;0.29375;0.26620;0.37676;0.26620;0.48625;0.09517
2020-04-27 18:14:29,116;SOBOL_TOTAL;B;0.26339;0.09828;0.29269;0.26624;0.37703;0.26589;0.48889;0.09792
2020-04-27 18:14:41,278;SOBOL_TOTAL;A;0.26496;0.09068;0.18425;0.30952;0.35653;0.10776;0.29179;0.09113
2020-04-27 18:14:53,250;SOBOL_TOTAL;A;0.26290;0.09340;0.18348;0.31038;0.35875;0.10561;0.29108;0.09207
2020-04-27 18:15:05,057;SOBOL_TOTAL;A;0.25719;0.08907;0.17948;0.31241;0.35873;0.10332;0.29460;0.09909
2020-04-27 18:15:17,028;SOBOL_TOTAL;A;0.26429;0.08825;0.18516;0.31053;0.35921;0.09714;0.28785;0.08980
2020-04-27 18:15:29,565;SOBOL_TOTAL;A;0.25652;0.09675;0.18196;0.30512;0.35572;0.10629;0.29447;0.08987
2020-04-27 18:15:41,648;SOBOL_TOTAL;A;0.25679;0.09093;0.18453;0.31326;0.36551;0.10272;0.28747;0.09204
2020-04-27 18:15:53,641;SOBOL_TOTAL;A;0.26018;0.09259;0.18339;0.30847;0.35988;0.10171;0.29267;0.09926
2020-04-27 18:16:05,626;SOBOL_TOTAL;A;0.25653;0.09403;0.18495;0.31299;0.35590;0.10226;0.29610;0.09092
2020-04-27 18:16:17,588;SOBOL_TOTAL;A;0.25655;0.09196;0.18347;0.30853;0.35918;0.10484;0.28787;0.08818
2020-04-27 18:16:29,634;SOBOL_TOTAL;A;0.25871;0.09254;0.17818;0.31655;0.35948;0.10411;0.30120;0.09365
2020-04-27 18:16:41,631;SOBOL_TOTAL;A;0.25690;0.08844;0.18087;0.30877;0.35244;0.10285;0.30367;0.09509
2020-04-27 18:16:53,695;SOBOL_TOTAL;A;0.25793;0.09079;0.18468;0.31520;0.35715;0.09855;0.29300;0.08923
2020-04-27 18:17:05,700;SOBOL_TOTAL;A;0.26146;0.08908;0.18238;0.30766;0.36076;0.10529;0.29789;0.09352
2020-04-27 18:17:17,580;SOBOL_TOTAL;A;0.26172;0.09523;0.18181;0.30745;0.35140;0.11033;0.28725;0.08968
2020-04-27 18:17:29,778;SOBOL_TOTAL;A;0.25464;0.08718;0.17927;0.32086;0.35431;0.10458;0.29946;0.09253
2020-04-27 18:17:41,725;SOBOL_TOTAL;A;0.25814;0.09591;0.18203;0.31355;0.35761;0.10437;0.29686;0.09280
2020-04-27 18:17:53,642;SOBOL_TOTAL;A;0.26300;0.09543;0.18865;0.31182;0.35577;0.10653;0.29052;0.09566
2020-04-27 18:18:05,691;SOBOL_TOTAL;A;0.25805;0.09238;0.17522;0.30913;0.35688;0.10016;0.29381;0.09416
2020-04-27 18:18:17,738;SOBOL_TOTAL;A;0.25794;0.09250;0.17878;0.30975;0.35377;0.10784;0.29752;0.09339
2020-04-27 18:18:29,966;SOBOL_TOTAL;A;0.26070;0.09334;0.17913;0.31226;0.35204;0.10290;0.28848;0.09379
2020-04-27 18:18:41,916;SOBOL_TOTAL;A;0.26227;0.09268;0.18359;0.31095;0.35651;0.10135;0.29517;0.09224
2020-04-27 18:18:54,053;SOBOL_TOTAL;A;0.26579;0.09496;0.17793;0.31194;0.35564;0.10405;0.29907;0.08963
2020-04-27 18:19:06,050;SOBOL_TOTAL;A;0.25974;0.09221;0.17997;0.30995;0.35794;0.10309;0.29173;0.09043
2020-04-27 18:19:17,967;SOBOL_TOTAL;A;0.25809;0.09260;0.17723;0.31414;0.34649;0.10457;0.28866;0.09238
2020-04-27 18:19:30,012;SOBOL_TOTAL;A;0.26261;0.09426;0.17766;0.30453;0.36065;0.10558;0.29610;0.09094
2020-04-27 18:19:42,536;SOBOL_TOTAL;A;0.26014;0.09094;0.18277;0.31550;0.35419;0.10272;0.29483;0.09072
2020-04-27 18:19:54,651;SOBOL_TOTAL;A;0.25859;0.09234;0.17957;0.31209;0.35604;0.11165;0.29500;0.09300
2020-04-27 18:20:06,827;SOBOL_TOTAL;A;0.25805;0.09246;0.18092;0.31117;0.35762;0.10180;0.29406;0.09402
2020-04-27 18:20:18,890;SOBOL_TOTAL;A;0.26412;0.09241;0.17971;0.31033;0.36120;0.10396;0.29500;0.09108
2020-04-27 18:20:31,062;SOBOL_TOTAL;A;0.25894;0.09054;0.18219;0.31499;0.35837;0.10833;0.28897;0.08920
2020-04-27 18:20:43,079;SOBOL_TOTAL;A;0.25679;0.09204;0.18453;0.31326;0.36551;0.10272;0.28747;0.09093
2020-04-27 18:20:55,325;SOBOL_TOTAL;A;0.25982;0.09541;0.18771;0.30575;0.35056;0.10206;0.28711;0.09186
2020-04-27 18:21:07,508;SOBOL_TOTAL;A;0.26096;0.09491;0.18894;0.31164;0.35609;0.10492;0.29897;0.09247
2020-04-27 18:21:19,692;SOBOL_TOTAL;A;0.25892;0.09510;0.18288;0.30414;0.35357;0.10485;0.29106;0.09222
